Node ID	Battery Consumption (%)	TotalNumber of Transactions
Node ID	Battery Consumption (%)	TotalNumber of Transactions
Node ID	Battery Consumption (%)	TotalNumber of Transactions
28	0.00002500	18	
2	0.00002500	18	
23	0.00005556	40	
12	0.00005556	40	
17	0.00005556	40	
1	0.00005556	40	
47	0.00005556	40	
41	0.00005556	40	
25	0.00005556	40	
4	0.00005556	40	
44	0.00005556	40	
41	0.00005556	40	
32	0.00005556	40	
3	0.00008611	62	
4	0.00008611	62	
15	0.00008611	62	
4	0.00008611	62	
23	0.00008611	62	
46	0.00008611	62	
1	0.00008611	62	
17	0.00008611	62	
22	0.00008611	62	
17	0.00008611	62	
2	0.00011667	84	
17	0.00011667	84	
20	0.00011667	84	
33	0.00011667	84	
22	0.00011667	84	
8	0.00011667	84	
16	0.00011667	84	
41	0.00011667	84	
12	0.00011667	84	
30	0.00011667	84	
15	0.00011667	84	
32	0.00007778	56	
20	0.00007778	56	
25	0.00007778	56	
4	0.00007778	56	
4	0.00007778	56	
39	0.00007778	56	
6	0.00007778	56	
33	0.00007778	56	
21	0.00007778	56	
44	0.00003889	28	
29	0.00003889	28	
3	0.00003889	28	
26	0.00003889	28	
47	0.00003889	28	
30	0.00003889	28	
40	0.00003889	28	
42	0.00003889	28	
47	0.00003889	28	
45	0.00003889	28	
10	0.00007083	51	
8	0.00007083	51	
22	0.00007083	51	
4	0.00007083	51	
35	0.00007083	51	
34	0.00007083	51	
37	0.00007083	51	
44	0.00007083	51	
35	0.00007083	51	
17	0.00007083	51	
2	0.00007083	51	
36	0.00007083	51	
41	0.00007083	51	
49	0.00007083	51	
40	0.00010000	72	
31	0.00010000	72	
34	0.00010000	72	
26	0.00010000	72	
30	0.00010000	72	
35	0.00010000	72	
45	0.00010000	72	
3	0.00010000	72	
13	0.00010000	72	
42	0.00010000	72	
3	0.00010000	72	
40	0.00010000	72	
23	0.00010000	72	
7	0.00010000	72	
29	0.00010000	72	
42	0.00010000	72	
22	0.00006250	45	
33	0.00006250	45	
29	0.00006250	45	
42	0.00006250	45	
23	0.00006250	45	
43	0.00006250	45	
36	0.00012500	90	
28	0.00012500	90	
2	0.00012500	90	
23	0.00012500	90	
12	0.00012500	90	
17	0.00012500	90	
1	0.00012500	90	
47	0.00012500	90	
41	0.00012500	90	
25	0.00012500	90	
4	0.00012500	90	
44	0.00008750	63	
41	0.00008750	63	
32	0.00008750	63	
3	0.00008750	63	
4	0.00008750	63	
15	0.00008750	63	
4	0.00008750	63	
23	0.00008750	63	
46	0.00011806	85	
1	0.00011806	85	
17	0.00011806	85	
22	0.00011806	85	
17	0.00011806	85	
2	0.00011806	85	
17	0.00011806	85	
20	0.00011806	85	
33	0.00011806	85	
22	0.00011806	85	
8	0.00011806	85	
16	0.00011806	85	
41	0.00007917	57	
12	0.00007917	57	
30	0.00007917	57	
15	0.00007917	57	
32	0.00007917	57	
20	0.00007917	57	
25	0.00007917	57	
4	0.00007917	57	
4	0.00007917	57	
39	0.00004028	29	
6	0.00004028	29	
33	0.00004028	29	
21	0.00004028	29	
44	0.00004028	29	
29	0.00004028	29	
3	0.00004028	29	
26	0.00004028	29	
47	0.00004028	29	
30	0.00004028	29	
40	0.00000278	2	
42	0.00000278	2	
47	0.00000278	2	
45	0.00000278	2	
10	0.00000278	2	
8	0.00000278	2	
22	0.00000278	2	
4	0.00000278	2	
35	0.00000278	2	
34	0.00000278	2	
37	0.00000278	2	
44	0.00000278	2	
35	0.00000278	2	
17	0.00010139	73	
2	0.00010139	73	
36	0.00010139	73	
41	0.00010139	73	
49	0.00010139	73	
40	0.00010139	73	
31	0.00010139	73	
34	0.00010139	73	
26	0.00010139	73	
30	0.00010139	73	
35	0.00010139	73	
45	0.00010139	73	
3	0.00010139	73	
13	0.00010139	73	
42	0.00010139	73	
3	0.00010139	73	
40	0.00010139	73	
23	0.00010139	73	
7	0.00006250	45	
29	0.00006250	45	
42	0.00006250	45	
22	0.00006250	45	
33	0.00006250	45	
29	0.00006250	45	
42	0.00006250	45	
23	0.00006250	45	
43	0.00006250	45	
25	0.00006250	45	
4	0.00006250	45	
28	0.00006250	45	
47	0.00006250	45	
20	0.00006250	45	
24	0.00006250	45	
18	0.00006250	45	
1	0.00006250	45	
37	0.00002500	18	
43	0.00002500	18	
29	0.00002500	18	
42	0.00002500	18	
5	0.00002500	18	
20	0.00002500	18	
14	0.00002500	18	
18	0.00002500	18	
9	0.00002500	18	
12	0.00002500	18	
29	0.00002500	18	
11	0.00002500	18	
28	0.00012500	90	
42	0.00012500	90	
35	0.00012500	90	
44	0.00012500	90	
19	0.00012500	90	
2	0.00012500	90	
29	0.00012500	90	
49	0.00012500	90	
17	0.00012500	90	
14	0.00012500	90	
36	0.00012500	90	
43	0.00012500	90	
43	0.00001667	12	
14	0.00001667	12	
39	0.00001667	12	
14	0.00001667	12	
17	0.00001667	12	
16	0.00001667	12	
36	0.00001667	12	
8	0.00001667	12	
3	0.00001667	12	
46	0.00001667	12	
5	0.00001667	12	
24	0.00004722	34	
26	0.00004722	34	
14	0.00004722	34	
38	0.00004722	34	
28	0.00004722	34	
23	0.00004722	34	
42	0.00004722	34	
44	0.00000972	7	
3	0.00000972	7	
42	0.00000972	7	
1	0.00000972	7	
37	0.00000972	7	
49	0.00000972	7	
43	0.00000972	7	
37	0.00000972	7	
49	0.00000972	7	
46	0.00010694	77	
28	0.00010694	77	
32	0.00010694	77	
10	0.00010694	77	
48	0.00010694	77	
13	0.00010694	77	
11	0.00010694	77	
10	0.00006944	50	
44	0.00006944	50	
37	0.00006944	50	
1	0.00006944	50	
49	0.00006944	50	
37	0.00006944	50	
28	0.00006944	50	
7	0.00006944	50	
41	0.00006944	50	
29	0.00006944	50	
43	0.00006944	50	
33	0.00006944	50	
6	0.00006944	50	
31	0.00003056	22	
21	0.00003056	22	
22	0.00003056	22	
4	0.00003056	22	
8	0.00003056	22	
41	0.00003056	22	
1	0.00003056	22	
44	0.00003056	22	
20	0.00003056	22	
38	0.00003056	22	
44	0.00003056	22	
37	0.00003056	22	
41	0.00012917	93	
26	0.00012917	93	
4	0.00012917	93	
35	0.00012917	93	
33	0.00012917	93	
15	0.00012917	93	
7	0.00012917	93	
46	0.00012917	93	
30	0.00012917	93	
21	0.00012917	93	
36	0.00012917	93	
46	0.00012917	93	
37	0.00012917	93	
5	0.00002361	17	
14	0.00002361	17	
24	0.00002361	17	
10	0.00002361	17	
41	0.00002361	17	
27	0.00002361	17	
13	0.00002361	17	
27	0.00002361	17	
47	0.00002361	17	
48	0.00002361	17	
15	0.00012361	89	
1	0.00012361	89	
14	0.00012361	89	
7	0.00012361	89	
33	0.00012361	89	
31	0.00012361	89	
39	0.00012361	89	
19	0.00012361	89	
2	0.00012361	89	
29	0.00012361	89	
28	0.00001389	10	
32	0.00011389	82	
47	0.00011389	82	
34	0.00011389	82	
Node ID	Battery Consumption (%)	TotalNumber of Transactions
Node ID	Battery Consumption (%)	TotalNumber of Transactions
28	0.00012778	92	
2	0.00012778	92	
23	0.00012778	92	
12	0.00012778	92	
17	0.00012778	92	
1	0.00012778	92	
47	0.00002083	15	
41	0.00002083	15	
25	0.00002083	15	
4	0.00002083	15	
44	0.00002083	15	
41	0.00002083	15	
32	0.00002083	15	
3	0.00002083	15	
4	0.00011944	86	
15	0.00011944	86	
4	0.00011944	86	
23	0.00011944	86	
46	0.00011944	86	
1	0.00011944	86	
17	0.00011944	86	
22	0.00011944	86	
Node ID	Battery Consumption (%)	TotalNumber of Transactions
28	0.00008333	60	
2	0.00008333	60	
23	0.00011389	82	
12	0.00011389	82	
17	0.00011389	82	
1	0.00011389	82	
47	0.00011389	82	
41	0.00011389	82	
25	0.00011389	82	
4	0.00011389	82	
44	0.00011389	82	
41	0.00011389	82	
32	0.00011389	82	
3	0.00000694	5	
4	0.00000694	5	
15	0.00000694	5	
4	0.00000694	5	
23	0.00000694	5	
46	0.00000694	5	
1	0.00000694	5	
17	0.00000694	5	
22	0.00000694	5	
17	0.00000694	5	
2	0.00010556	76	
17	0.00010556	76	
20	0.00010556	76	
33	0.00010556	76	
22	0.00010556	76	
8	0.00010556	76	
16	0.00010556	76	
41	0.00010556	76	
12	0.00010556	76	
30	0.00010556	76	
15	0.00010556	76	
32	0.00010556	76	
20	0.00013611	98	
25	0.00013611	98	
4	0.00013611	98	
4	0.00013611	98	
39	0.00013611	98	
6	0.00013611	98	
33	0.00013611	98	
21	0.00013611	98	
44	0.00002917	21	
29	0.00002917	21	
3	0.00002917	21	
26	0.00002917	21	
47	0.00002917	21	
30	0.00002917	21	
40	0.00002917	21	
42	0.00002917	21	
47	0.00002917	21	
45	0.00002917	21	
10	0.00002917	21	
8	0.00002917	21	
22	0.00002917	21	
4	0.00002917	21	
35	0.00012917	93	
34	0.00012917	93	
37	0.00012917	93	
44	0.00012917	93	
35	0.00012917	93	
17	0.00012917	93	
2	0.00012917	93	
36	0.00012917	93	
41	0.00012917	93	
49	0.00012917	93	
40	0.00012917	93	
31	0.00012917	93	
34	0.00012917	93	
26	0.00012917	93	
30	0.00002083	15	
35	0.00002083	15	
45	0.00002083	15	
3	0.00002083	15	
13	0.00002083	15	
42	0.00002083	15	
3	0.00002083	15	
40	0.00002083	15	
23	0.00002083	15	
7	0.00002083	15	
29	0.00002083	15	
42	0.00002083	15	
22	0.00002083	15	
33	0.00002083	15	
29	0.00002083	15	
42	0.00002083	15	
23	0.00002083	15	
43	0.00002083	15	
25	0.00005000	36	
4	0.00005000	36	
28	0.00005000	36	
47	0.00005000	36	
20	0.00005000	36	
24	0.00005000	36	
18	0.00005000	36	
1	0.00005000	36	
37	0.00005000	36	
43	0.00005000	36	
29	0.00005000	36	
42	0.00005000	36	
5	0.00005000	36	
20	0.00005000	36	
14	0.00005000	36	
18	0.00001250	9	
9	0.00001250	9	
12	0.00001250	9	
29	0.00001250	9	
11	0.00001250	9	
28	0.00001250	9	
42	0.00001250	9	
35	0.00001250	9	
44	0.00001250	9	
19	0.00004306	31	
2	0.00004306	31	
29	0.00004306	31	
49	0.00004306	31	
17	0.00004306	31	
14	0.00004306	31	
36	0.00004306	31	
43	0.00004306	31	
43	0.00004306	31	
14	0.00004306	31	
39	0.00004306	31	
14	0.00004306	31	
17	0.00004306	31	
16	0.00004306	31	
36	0.00004306	31	
8	0.00004306	31	
3	0.00007361	53	
46	0.00007361	53	
5	0.00007361	53	
24	0.00007361	53	
26	0.00007361	53	
14	0.00003611	26	
38	0.00003611	26	
28	0.00003611	26	
23	0.00003611	26	
42	0.00003611	26	
44	0.00003611	26	
3	0.00003611	26	
Node ID	Battery Consumption (%)	TotalNumber of Transactions
28	0.00006250	45	
2	0.00006250	45	
23	0.00006250	45	
12	0.00006250	45	
17	0.00006250	45	
1	0.00006250	45	
47	0.00002361	17	
41	0.00002361	17	
25	0.00002361	17	
4	0.00002361	17	
44	0.00002361	17	
41	0.00002361	17	
32	0.00002361	17	
3	0.00002361	17	
4	0.00005417	39	
15	0.00005417	39	
4	0.00005417	39	
23	0.00005417	39	
46	0.00005417	39	
1	0.00005417	39	
17	0.00005417	39	
22	0.00005417	39	
17	0.00005417	39	
2	0.00005417	39	
17	0.00005417	39	
20	0.00008472	61	
33	0.00008472	61	
22	0.00008472	61	
8	0.00008472	61	
16	0.00008472	61	
41	0.00008472	61	
12	0.00008472	61	
30	0.00008472	61	
15	0.00008472	61	
32	0.00008472	61	
20	0.00011528	83	
25	0.00011528	83	
4	0.00011528	83	
4	0.00011528	83	
39	0.00011528	83	
6	0.00011528	83	
33	0.00011528	83	
21	0.00011528	83	
44	0.00000833	6	
29	0.00000833	6	
3	0.00000833	6	
26	0.00000833	6	
47	0.00000833	6	
30	0.00000833	6	
40	0.00000833	6	
42	0.00000833	6	
47	0.00000833	6	
45	0.00000833	6	
10	0.00000833	6	
8	0.00000833	6	
22	0.00000833	6	
4	0.00000833	6	
35	0.00000833	6	
34	0.00010694	77	
37	0.00010694	77	
44	0.00010694	77	
35	0.00010694	77	
17	0.00010694	77	
2	0.00010694	77	
36	0.00010694	77	
41	0.00010694	77	
49	0.00010694	77	
40	0.00010694	77	
31	0.00010694	77	
34	0.00010694	77	
26	0.00010694	77	
30	0.00010694	77	
35	0.00006944	50	
45	0.00006944	50	
3	0.00006944	50	
13	0.00006944	50	
42	0.00006944	50	
3	0.00006944	50	
40	0.00006944	50	
23	0.00006944	50	
7	0.00006944	50	
29	0.00006944	50	
42	0.00006944	50	
22	0.00006944	50	
33	0.00006944	50	
29	0.00006944	50	
42	0.00006944	50	
23	0.00006944	50	
43	0.00006944	50	
25	0.00003056	22	
4	0.00003056	22	
28	0.00003056	22	
47	0.00003056	22	
20	0.00003056	22	
24	0.00003056	22	
18	0.00003056	22	
1	0.00003056	22	
37	0.00003056	22	
43	0.00003056	22	
29	0.00003056	22	
42	0.00003056	22	
5	0.00003056	22	
20	0.00012917	93	
14	0.00012917	93	
18	0.00012917	93	
9	0.00012917	93	
12	0.00012917	93	
29	0.00012917	93	
11	0.00012917	93	
28	0.00012917	93	
42	0.00012917	93	
35	0.00002222	16	
44	0.00002222	16	
19	0.00002222	16	
2	0.00002222	16	
29	0.00002222	16	
49	0.00002222	16	
17	0.00002222	16	
14	0.00002222	16	
36	0.00002222	16	
43	0.00002222	16	
43	0.00002222	16	
14	0.00012222	88	
39	0.00012222	88	
14	0.00012222	88	
17	0.00012222	88	
16	0.00012222	88	
36	0.00012222	88	
8	0.00012222	88	
3	0.00012222	88	
46	0.00012222	88	
5	0.00012222	88	
24	0.00012222	88	
