Node ID	CPU Usage (%)	Total number of transactions
Node ID	CPU Usage (%)	Total number of transactions
Node ID	CPU Usage (%)	Total number of transactions
28	11.49	18	
2	11.49	18	
23	25.27	40	
12	25.27	40	
17	25.27	40	
1	25.27	40	
47	25.27	40	
41	25.27	40	
25	25.27	40	
4	25.27	40	
44	25.27	40	
41	25.27	40	
32	25.27	40	
3	38.74	62	
4	38.74	62	
15	38.74	62	
4	38.74	62	
23	38.74	62	
46	38.74	62	
1	38.74	62	
17	38.74	62	
22	38.74	62	
17	38.74	62	
2	52.64	84	
17	52.64	84	
20	52.64	84	
33	52.64	84	
22	52.64	84	
8	52.64	84	
16	52.64	84	
41	52.64	84	
12	52.64	84	
30	52.64	84	
15	52.64	84	
32	35.10	56	
20	35.10	56	
25	35.10	56	
4	35.10	56	
4	35.10	56	
39	35.10	56	
6	35.10	56	
33	35.10	56	
21	35.10	56	
44	17.48	28	
29	17.48	28	
3	17.48	28	
26	17.48	28	
47	17.48	28	
30	17.48	28	
40	17.48	28	
42	17.48	28	
47	17.48	28	
45	17.48	28	
10	31.88	51	
8	31.88	51	
22	31.88	51	
4	31.88	51	
35	31.88	51	
34	31.88	51	
37	31.88	51	
44	31.88	51	
35	31.88	51	
17	31.88	51	
2	31.88	51	
36	31.88	51	
41	31.88	51	
49	31.88	51	
40	45.10	72	
31	45.10	72	
34	45.10	72	
26	45.10	72	
30	45.10	72	
35	45.10	72	
45	45.10	72	
3	45.10	72	
13	45.10	72	
42	45.10	72	
3	45.10	72	
40	45.10	72	
23	45.10	72	
7	45.10	72	
29	45.10	72	
42	45.10	72	
22	28.04	45	
33	28.04	45	
29	28.04	45	
42	28.04	45	
23	28.04	45	
43	28.04	45	
36	56.16	90	
28	56.16	90	
2	56.16	90	
23	56.16	90	
12	56.16	90	
17	56.16	90	
1	56.16	90	
47	56.16	90	
41	56.16	90	
25	56.16	90	
4	56.16	90	
44	39.11	63	
41	39.11	63	
32	39.11	63	
3	39.11	63	
4	39.11	63	
15	39.11	63	
4	39.11	63	
23	39.11	63	
46	53.08	85	
1	53.08	85	
17	53.08	85	
22	53.08	85	
17	53.08	85	
2	53.08	85	
17	53.08	85	
20	53.08	85	
33	53.08	85	
22	53.08	85	
8	53.08	85	
16	53.08	85	
41	35.72	57	
12	35.72	57	
30	35.72	57	
15	35.72	57	
32	35.72	57	
20	35.72	57	
25	35.72	57	
4	35.72	57	
4	35.72	57	
39	18.31	29	
6	18.31	29	
33	18.31	29	
21	18.31	29	
44	18.31	29	
29	18.31	29	
3	18.31	29	
26	18.31	29	
47	18.31	29	
30	18.31	29	
40	1.28	2	
42	1.28	2	
47	1.28	2	
45	1.28	2	
10	1.28	2	
8	1.28	2	
22	1.28	2	
4	1.28	2	
35	1.28	2	
34	1.28	2	
37	1.28	2	
44	1.28	2	
35	1.28	2	
17	45.66	73	
2	45.66	73	
36	45.66	73	
41	45.66	73	
49	45.66	73	
40	45.66	73	
31	45.66	73	
34	45.66	73	
26	45.66	73	
30	45.66	73	
35	45.66	73	
45	45.66	73	
3	45.66	73	
13	45.66	73	
42	45.66	73	
3	45.66	73	
40	45.66	73	
23	45.66	73	
7	28.02	45	
29	28.02	45	
42	28.02	45	
22	28.02	45	
33	28.02	45	
29	28.02	45	
42	28.02	45	
23	28.02	45	
43	28.02	45	
25	28.02	45	
4	28.02	45	
28	28.02	45	
47	28.02	45	
20	28.02	45	
24	28.02	45	
18	28.02	45	
1	28.02	45	
37	11.25	18	
43	11.25	18	
29	11.25	18	
42	11.25	18	
5	11.25	18	
20	11.25	18	
14	11.25	18	
18	11.25	18	
9	11.25	18	
12	11.25	18	
29	11.25	18	
11	11.25	18	
28	55.96	90	
42	55.96	90	
35	55.96	90	
44	55.96	90	
19	55.96	90	
2	55.96	90	
29	55.96	90	
49	55.96	90	
17	55.96	90	
14	55.96	90	
36	55.96	90	
43	55.96	90	
43	7.77	12	
14	7.77	12	
39	7.77	12	
14	7.77	12	
17	7.77	12	
16	7.77	12	
36	7.77	12	
8	7.77	12	
3	7.77	12	
46	7.77	12	
5	7.77	12	
24	21.08	34	
26	21.08	34	
14	21.08	34	
38	21.08	34	
28	21.08	34	
23	21.08	34	
42	21.08	34	
44	4.13	7	
3	4.13	7	
42	4.13	7	
1	4.13	7	
37	4.13	7	
49	4.13	7	
43	4.13	7	
37	4.13	7	
49	4.13	7	
46	48.21	77	
28	48.21	77	
32	48.21	77	
10	48.21	77	
48	48.21	77	
13	48.21	77	
