Source_ID Destination_ID Rating Votes
Source_ID Destination_ID Rating Votes
    6           28          6     1
   11            2          2     1
   47           23          3     1
   47           12          7     1
   20           17          5     1
   17            1         10     1
   43           47          8     1
    6           41          5     1
    6           25          3     1
   41            4          3     1
   37           44          3     1
   56           41          5     1
   47           32          2     1
   39            3          2     1
   21            4          1     1
   17           15          3     1
   51            4         10     1
   53           23          1     1
   33           46          8     1
   17            1         10     1
   24           17          0     1
   34           22          6     1
Source_ID Destination_ID Rating Votes
    6           28          0     1
   11            2          0     1
   47           23         10     1
   47           12          5     1
   20           17          1     1
   17            1          5     1
   43           47          9     1
    6           41          0     1
    6           25          0     1
   41            4          5     1
   37           44          0     1
   56           41          9     1
   47           32         10     1
   39            3          8     1
   21            4          9     1
   17           15          5     1
   51            4          3     1
   53           23         10     1
   33           46          4     1
   17            1          5     1
   24           17          0     1
   34           22          8     1
   20           17          1     1
   11            2          0     1
   32           17          8     1
   12           20          5     1
   51           33         10     1
    7           22          3     1
   26            8          0     1
   55           16          8     1
   39           41          6     1
    5           12          5     1
   35           30          3     1
   17           15          5     1
   50           32          7     1
   12           20          5     1
   40           25          9     1
   39            4         10     1
   16            4          4     1
   24           39          6     1
    3            6          7     1
    1           33         10     1
   37           21          0     1
   16           44          4     1
    9           29          3     1
   23            3          2     1
   18           26          6     1
    9           47          6     1
   53           30         10     1
   25           40          4     1
   28           42          4     1
   43           47          2     1
   12           45          9     1
   26           10          6     1
   46            8          9     1
    4           22          8     1
   16            4          4     1
   16           35          3     1
    6           34          3     1
   43           37          0     1
   16           44          4     1
   40           35         10     1
   55           17          6     1
   56            2         10     1
   31           36          7     1
   42           41          0     1
   27           49          6     1
   31           40          8     1
    4           31          6     1
   54           34          6     1
   18           26          6     1
   29           30          2     1
   16           35          3     1
   12           45          9     1
    6            3          9     1
   26           13          2     1
   28           42          4     1
   56            3          0     1
   22           40          6     1
   35           23          0     1
    3            7          4     1
   42           29          5     1
   22           42          6     1
   51           22          4     1
   53           33          3     1
    9           29          5     1
    5           42          2     1
   29           23          1     1
   37           43          4     1
   21           25          0     1
   27            4          5     1
   37           28          8     1
    6           47          1     1
    6           20          3     1
   41           24          0     1
   13           18          4     1
   32            1          4     1
   56           37          7     1
   28           43          3     1
    7           29          4     1
   22           42          6     1
   34            5          0     1
   34           20          6     1
   15           14          4     1
   13           18          4     1
   50            9          3     1
    5           12          5     1
   16           29         10     1
    8           11          4     1
   45           28          6     1
   32           42          6     1
    6           35          9     1
   23           44          7     1
   56           19          6     1
   10            2          5     1
   16           29         10     1
   28           49          6     1
    2           17          3     1
   15           14          4     1
    8           36          5     1
   50           43          4     1
   28           43          3     1
   31           14          7     1
   27           39          8     1
   20           14          4     1
   32           17          9     1
   50           16          1     1
    6           36         10     1
   54            8          5     1
   14            3          0     1
   35           46          7     1
   10            5          5     1
   48           24          1     1
   34           26         10     1
   20           14          4     1
   53           38          7     1
   17           28          5     1
    8           23          9     1
   15           42          3     1
   23           44          7     1
   14            3          0     1
