Node	Rating	Votes	Serial_no	Percent
15	   3265	    632	        1	      25
12	   3257	    626	        2	      25
16	   3038	    589	        3	      25
17	   2988	    604	        4	      25
11	   2905	    557	        5	      25
19	   2684	    529	        6	      25
18	   2674	    532	        7	      25
20	   2625	    538	        8	      25
14	   2598	    523	        9	      25
13	   2505	    511	       10	      25
56	   1968	    374	       11	      25
21	   1902	    387	       12	      25
26	   1885	    369	       13	      25
 6	   1877	    385	       14	      50
 8	   1875	    362	       15	      50
22	   1850	    382	       16	      50
23	   1832	    354	       17	      50
 5	   1814	    357	       18	      50
28	   1806	    380	       19	      50
55	   1757	    368	       20	      50
51	   1738	    342	       21	      50
34	   1705	    336	       22	      50
 3	   1640	    320	       23	      50
42	   1638	    327	       24	      50
27	   1627	    322	       25	      50
30	   1610	    331	       26	      75
24	   1604	    322	       27	      75
 2	   1597	    317	       28	      75
37	   1595	    308	       29	      75
 9	   1532	    322	       30	      75
29	   1530	    282	       31	      75
54	   1528	    296	       32	      75
32	   1496	    301	       33	      75
48	   1476	    304	       34	      75
53	   1440	    287	       35	      75
35	   1438	    284	       36	      75
45	   1431	    290	       37	      75
43	   1427	    277	       38	      75
 4	   1408	    275	       39	     100
33	   1407	    282	       40	     100
31	   1390	    282	       41	     100
50	   1380	    286	       42	     100
 7	   1361	    267	       43	     100
47	   1357	    285	       44	     100
40	   1354	    283	       45	     100
 1	   1349	    261	       46	     100
38	   1320	    262	       47	     100
44	   1316	    264	       48	     100
25	   1313	    254	       49	     100
36	   1282	    258	       50	     100
52	   1262	    251	       51	     100
46	   1251	    262	       52	     100
49	   1193	    237	       53	     100
10	   1170	    254	       54	     100
39	   1157	    236	       55	     100
41	   1129	    229	       56	     100
