Node	Rating	Votes	Serial_no	Percent
 1	    180	      4	        1	      25
44	    171	      4	        2	      25
12	    170	      3	        3	      25
37	    154	      4	        4	      25
33	    147	      3	        5	      25
49	    107	      4	        6	      25
28	    102	      5	        7	      25
 6	     96	      1	        8	      25
22	     93	      4	        9	      25
18	     78	      2	       10	      25
34	     75	      2	       11	      25
 2	     67	      4	       12	      25
45	     50	      2	       13	      25
13	     48	      2	       14	      50
20	     45	      4	       15	      50
31	     44	      1	       16	      50
16	     37	      2	       17	      50
 3	     32	      6	       18	      50
32	     32	      3	       19	      50
43	     20	      4	       20	      50
48	     17	      1	       21	      50
23	     16	      5	       22	      50
38	      3	      1	       23	      50
 5	      3	      2	       24	      50
 8	      2	      3	       25	      50
19	      1	      1	       26	      75
21	     -3	      1	       27	      75
 7	     -3	      1	       28	      75
30	     -4	      3	       29	      75
29	     -8	      6	       30	      75
47	    -11	      4	       31	      75
17	    -21	      7	       32	      75
42	    -27	      6	       33	      75
 4	    -27	      7	       34	      75
39	    -47	      2	       35	      75
36	    -56	      3	       36	      75
11	    -63	      1	       37	      75
35	    -64	      4	       38	      75
40	    -64	      3	       39	     100
24	    -71	      2	       40	     100
46	    -75	      3	       41	     100
41	    -76	      4	       42	     100
 9	    -81	      1	       43	     100
26	    -81	      3	       44	     100
15	    -84	      2	       45	     100
10	   -121	      2	       46	     100
25	   -157	      3	       47	     100
14	   -270	      5	       48	     100
